"Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Oceanico",1,"Rarefaction",0,0.999999999999999,0.999999999999999,1,0.22215654732486,0.218059696985138,0.226253397664582
"Oceanico",257,"Rarefaction",0,45.7844511248751,45.4166041285991,46.152298121151,0.929111813786097,0.927919734163363,0.930303893408831
"Oceanico",513,"Rarefaction",0,58.7972216658658,58.2481368902766,59.346306441455,0.962427124051811,0.961579396864182,0.96327485123944
"Oceanico",770,"Rarefaction",0,66.6770406765227,65.999087490877,67.3549938621683,0.974809773112362,0.974195673163933,0.975423873060791
"Oceanico",1026,"Rarefaction",0,72.2019130506696,71.4328049065483,72.9710211947908,0.981487736955746,0.981021908748744,0.981953565162749
"Oceanico",1282,"Rarefaction",0,76.365438954942,75.5319059763671,77.1989719335168,0.985714694011863,0.985341241540405,0.986088146483322
"Oceanico",1539,"Rarefaction",0,79.6425599469785,78.763427047515,80.5216928464419,0.988625806835751,0.988313258451002,0.9889383552205
"Oceanico",1795,"Rarefaction",0,82.2734719871048,81.3626922559555,83.1842517182541,0.990723187327732,0.990454484794665,0.990991889860798
"Oceanico",2052,"Rarefaction",0,84.4458516306299,83.5137489744942,85.3779542867655,0.992306371623674,0.992072308455753,0.992540434791595
"Oceanico",2308,"Rarefaction",0,86.2533874561711,85.3082740335292,87.1985008788131,0.993527790150401,0.993322122292995,0.993733458007806
"Oceanico",2564,"Rarefaction",0,87.7821832404619,86.8308031941096,88.7335632868141,0.994496530268189,0.994314395717086,0.994678664819291
"Oceanico",2821,"Rarefaction",0,89.0925799116382,88.1406225272783,90.0445372959981,0.995281956060978,0.995119019969839,0.995444892152117
"Oceanico",3077,"Rarefaction",0,90.2160025635307,89.2683277946669,91.1636773323946,0.995923342001852,0.995775396339891,0.996071287663812
"Oceanico",3333,"Rarefaction",0,91.1896797730775,90.2504408131365,92.1289187330185,0.996455881208487,0.996319150641852,0.996592611775122
"Oceanico",3590,"Rarefaction",0,92.0414829042362,91.1142802285974,92.9686855798749,0.996904228793775,0.996775468722235,0.997032988865315
"Oceanico",3846,"Rarefaction",0,92.7845134958416,91.8723109929616,93.6967159987216,0.9972820745664,0.997158614440408,0.997405534692392
"Oceanico",4103,"Rarefaction",0,93.4405440209741,92.5459307803458,94.3351572616024,0.997605468988607,0.997485363327705,0.997725574649509
"Oceanico",4359,"Rarefaction",0,94.0174113267017,93.1423981185834,94.89242453482,0.997881955241882,0.99776386604564,0.998000044438125
"Oceanico",4615,"Rarefaction",0,94.5284523905044,93.6747185416466,95.3821862393621,0.998120749985888,0.998003881219553,0.998237618752223
"Oceanico",4872,"Rarefaction",0,94.9841628962703,94.1531251829444,95.8152006095962,0.99832884637944,0.998212804211425,0.998444888547455
"Oceanico",5128,"Rarefaction",0,95.388408947009,94.5809934045642,96.1958244894538,0.998509646023624,0.998394311996717,0.998624980050532
"Oceanico",5385,"Rarefaction",0,95.7506329758341,94.9676721000556,96.5335938516127,0.998668649672583,0.998554096147955,0.998783203197211
"Oceanico",5641,"Rarefaction",0,96.0733235228466,95.3152175414306,96.8314295042626,0.998807942478786,0.998694346535482,0.998921538422089
"Oceanico",5897,"Rarefaction",0,96.3624892662369,95.6295228052028,97.095455727271,0.998930910924195,0.998818510685486,0.999043311162903
"Oceanico",6154,"Rarefaction",0,96.6229722354983,95.9153477614591,97.3305967095375,0.999040216915642,0.998929279452015,0.999151154379269
"Oceanico",6410,"Rarefaction",0,96.8561075537999,96.1736750035826,97.5385401040173,0.999136903496628,0.999027683970582,0.999246123022675
"Oceanico",6666,"Rarefaction",0,97.0658714251191,96.4084476770881,97.7232951731502,0.999223007193134,0.999115750899065,0.999330263487203
"Oceanico",6923,"Rarefaction",0,97.2554977059757,96.6228845623237,97.8881108496278,0.999300150984402,0.999195088650517,0.999405213318286
"Oceanico",7179,"Rarefaction",0,97.4257347626248,96.8174480766392,98.0340214486104,0.999368875748893,0.999266193058852,0.999471558438933
"Oceanico",7436,"Rarefaction",0,97.5798760947854,96.9955447461509,98.1642074434199,0.999430697785225,0.999330569218523,0.999530826351928
"Oceanico",7692,"Rarefaction",0,97.7184438110994,97.1574479165693,98.2794397056295,0.999485971904862,0.999388522516624,0.999583421293101
"Oceanico",7948,"Rarefaction",0,97.8435864996418,97.3053506747741,98.3818223245095,0.999535670208281,0.999441006430809,0.999630333985753
"Oceanico",8205,"Rarefaction",0,97.957069967745,97.441065298784,98.4730746367059,0.999580580525523,0.999488793690728,0.999672367360319
"Oceanico",8461,"Rarefaction",0,98.0592123196782,97.5647074795249,98.5537171598315,0.999620895978335,0.999532030728359,0.999709761228312
"Oceanico",8718,"Rarefaction",0,98.1518882373983,97.6782985920743,98.6254778827223,0.999657407697636,0.999571509439929,0.999743305955342
"Oceanico",8974,"Rarefaction",0,98.2353337998309,97.7818979069093,98.6887696927525,0.999690246640041,0.99960731812423,0.999773175155853
"Oceanico",9230,"Rarefaction",0,98.3107827043809,97.876813916467,98.7447514922949,0.999719926132607,0.999639964401911,0.999799887863303
"Oceanico",9487,"Rarefaction",0,98.3792552130596,97.9641361975836,98.7943742285355,0.999746866976891,0.999669865529557,0.999823868424224
"Oceanico",9743,"Rarefaction",0,98.440910202953,98.0438787003105,98.8379417055954,0.999771144700255,0.999697060992269,0.99984522840824
"Oceanico",10000,"Rarefaction",0,98.4968553724094,98.1172959926542,98.8764147521647,0.999793203471126,0.999722006585887,0.999864400356364
"Oceanico",1,"Rarefaction",1,1,1,1,0.22215654732486,0.218059696985138,0.226253397664582
"Oceanico",257,"Rarefaction",1,12.9236654710493,12.7133535771441,13.1339773649544,0.929111813786097,0.927919734163363,0.930303893408831
"Oceanico",513,"Rarefaction",1,13.8727883585771,13.6437248468472,14.101851870307,0.962427124051811,0.961579396864182,0.96327485123944
"Oceanico",770,"Rarefaction",1,14.262366298667,14.0259056009392,14.4988269963948,0.974809773112362,0.974195673163933,0.975423873060791
"Oceanico",1026,"Rarefaction",1,14.4769929128675,14.236563730364,14.717422095371,0.981487736955746,0.981021908748744,0.981953565162749
"Oceanico",1282,"Rarefaction",1,14.6140164403163,14.3710885915974,14.8569442890352,0.985714694011863,0.985341241540405,0.986088146483322
"Oceanico",1539,"Rarefaction",1,14.7095087872108,14.4648500499968,14.9541675244247,0.988625806835751,0.988313258451002,0.9889383552205
"Oceanico",1795,"Rarefaction",1,14.7793859591945,14.5334638098534,15.0253081085356,0.990723187327732,0.990454484794665,0.990991889860798
"Oceanico",2052,"Rarefaction",1,14.8330732123927,14.5861821848874,15.0799642398979,0.992306371623674,0.992072308455753,0.992540434791595
"Oceanico",2308,"Rarefaction",1,14.8752849026712,14.6276341621312,15.1229356432112,0.993527790150401,0.993322122292995,0.993733458007806
"Oceanico",2564,"Rarefaction",1,14.9094374092608,14.661174539499,15.1577002790225,0.994496530268189,0.994314395717086,0.994678664819291
"Oceanico",2821,"Rarefaction",1,14.9377151916361,14.6889483299766,15.1864820532955,0.995281956060978,0.995119019969839,0.995444892152117
"Oceanico",3077,"Rarefaction",1,14.9613255483499,14.7121407769004,15.2105103197995,0.995923342001852,0.995775396339891,0.996071287663812
"Oceanico",3333,"Rarefaction",1,14.9813936534249,14.7318564529855,15.2309308538643,0.996455881208487,0.996319150641852,0.996592611775122
"Oceanico",3590,"Rarefaction",1,14.9987122500937,14.7488734903801,15.2485510098072,0.996904228793775,0.996775468722235,0.997032988865315
"Oceanico",3846,"Rarefaction",1,15.0136913918802,14.7635941175029,15.2637886662576,0.9972820745664,0.997158614440408,0.997405534692392
"Oceanico",4103,"Rarefaction",1,15.0268638535475,14.7765412804627,15.2771864266323,0.997605468988607,0.997485363327705,0.997725574649509
"Oceanico",4359,"Rarefaction",1,15.0384466826987,14.7879277537767,15.2889656116208,0.997881955241882,0.99776386604564,0.998000044438125
"Oceanico",4615,"Rarefaction",1,15.0487444524406,14.798052449314,15.2994364555671,0.998120749985888,0.998003881219553,0.998237618752223
"Oceanico",4872,"Rarefaction",1,15.0579901383306,14.8071440186976,15.3088362579636,0.99832884637944,0.998212804211425,0.998444888547455
"Oceanico",5128,"Rarefaction",1,15.0662724673338,14.8152893577831,15.3172555768844,0.998509646023624,0.998394311996717,0.998624980050532
"Oceanico",5385,"Rarefaction",1,15.0737876224799,14.8226811081184,15.3248941368415,0.998668649672583,0.998554096147955,0.998783203197211
"Oceanico",5641,"Rarefaction",1,15.0805846387428,14.8293672537795,15.3318020237061,0.998807942478786,0.998694346535482,0.998921538422089
"Oceanico",5897,"Rarefaction",1,15.0867831202931,14.8354652399689,15.3381010006173,0.998930910924195,0.998818510685486,0.999043311162903
